PR_Number,Author,Score,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Antipatterns,Comment_Violations,Timestamp
497202,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:31Z
497201,twoneis,20,0,0,0,,,,2026-03-06T19:53:32Z
497200,fabaff,20,0,0,0,,,,2026-03-06T19:53:33Z
497199,Gskartwii,20,0,0,0,,,,2026-03-06T19:53:34Z
497198,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:35Z
497197,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:53:36Z
497196,sternenseemann,70,0,0,0,,,,2026-03-06T19:53:37Z
497195,fabaff,20,0,0,0,,,,2026-03-06T19:53:38Z
497194,aduh95,70,0,0,0,,,,2026-03-06T19:53:39Z
497193,sternenseemann,20,0,0,0,,,,2026-03-06T19:53:40Z
497192,fabaff,20,0,0,0,,,,2026-03-06T19:53:41Z
497191,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:42Z
497190,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:43Z
497189,sternenseemann,70,0,0,0,,,,2026-03-06T19:53:44Z
497188,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:45Z
497187,tembleking,70,0,0,0,,,,2026-03-06T19:53:45Z
497186,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:46Z
497185,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:47Z
497184,fabaff,20,0,0,0,,,,2026-03-06T19:53:48Z
497183,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:50Z
497182,lunagl,20,0,0,0,,,,2026-03-06T19:53:51Z
497181,matdibu,70,0,0,0,,,,2026-03-06T19:53:52Z
497180,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:53:52Z
497179,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:53:53Z
497178,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:54Z
497177,sweenu,20,0,0,0,,,,2026-03-06T19:53:55Z
497176,Defelo,70,0,0,0,,,,2026-03-06T19:53:56Z
497175,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:57Z
497174,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:58Z
497173,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:59Z
497172,r-ryantm,20,0,0,0,,,,2026-03-06T19:54:01Z
497171,r-ryantm,20,0,0,0,,,,2026-03-06T19:54:03Z
497170,onny,20,0,0,0,,,,2026-03-06T19:54:05Z
497169,r-ryantm,20,0,0,0,,,,2026-03-06T19:54:07Z
497168,gonsolo,20,0,0,0,,,,2026-03-06T19:54:08Z
497167,FliegendeWurst,70,0,0,0,,,,2026-03-06T19:54:09Z
497166,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:54:10Z
497165,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:54:12Z
497164,r-ryantm,20,0,0,0,,,,2026-03-06T19:54:13Z
497163,r-ryantm,20,0,0,0,,,,2026-03-06T19:54:15Z
497162,ryand56,20,0,0,0,,,,2026-03-06T19:54:17Z
497161,r-ryantm,20,0,0,0,,,,2026-03-06T19:54:18Z
